Cell 01,Cell 02,Cell 03,Cell 04,Cell 05,Cell 06,Cell 07,Cell 08,Cell 09,Cell 10,Cell 11,Cell 12
1.071360,1.287120,1.257360,1.294560,1.026720,0.989520,1.056480,1.302000,0.989520,1.041600,1.249920,1.019280
1.264800,1.220160,1.287120,1.019280,1.078800,1.175520,1.078800,1.294560,1.041600,1.011840,1.108560,1.212720
1.093680,1.086240,1.294560,1.071360,1.026720,1.056480,1.041600,1.063920,1.019280,1.004400,1.227600,1.078800
1.056480,1.026720,1.071360,1.034160,1.004400,1.108560,1.063920,1.034160,1.026720,1.272240,1.346640,1.071360
1.257360,1.063920,1.279680,1.063920,1.026720,1.227600,1.287120,1.153200,1.026720,1.309440,1.056480,1.093680
1.272240,1.093680,1.056480,1.272240,1.011840,1.004400,1.078800,1.026720,0.959760,1.056480,1.034160,0.989520
1.324320,1.294560,1.063920,1.041600,1.279680,1.257360,1.264800,1.041600,1.004400,1.086240,1.227600,1.324320
1.019280,1.034160,1.041600,1.272240,1.019280,1.049040,1.063920,1.034160,1.019280,1.108560,1.049040,1.078800
1.049040,1.071360,1.287120,1.257360,1.049040,1.197840,0.996960,1.056480,1.056480,1.123440,1.041600,1.279680
1.279680,1.249920,1.056480,1.294560,0.996960,1.279680,1.235040,1.041600,,,1.026720,1.287120
1.026720,1.235040,1.041600,1.294560,0.959760,1.130880,1.034160,1.257360,,,1.257360,1.004400
1.257360,1.235040,1.078800,,1.071360,1.063920,,1.212720,,,1.220160,1.316880
1.376400,1.249920,1.160640,,1.026720,1.049040,,1.257360,,,,1.049040
1.242480,1.235040,1.078800,,,1.346640,,1.190400,,,,1.257360
1.101120,1.257360,1.056480,,,0.996960,,1.056480,,,,
,1.279680,1.227600,,,,,1.078800,,,,
,,1.004400,,,,,1.242480,,,,
,,1.138320,,,,,,,,,
,,1.331760,,,,,,,,,
,,1.093680,,,,,,,,,
