Cell 01,Cell 02,Cell 03,Cell 04,Cell 05,Cell 06,Cell 07,Cell 08,Cell 09,Cell 10,Cell 11,Cell 12
1.026720,1.264800,1.138320,1.026720,1.235040,1.056480,1.041600,1.034160,1.294560,1.264800,1.287120,1.279680
1.071360,1.220160,0.996960,1.220160,1.019280,1.212720,1.019280,1.049040,1.026720,1.034160,1.264800,1.034160
1.212720,1.212720,0.989520,1.004400,1.264800,1.220160,1.101120,1.026720,1.011840,1.071360,1.078800,1.257360
1.287120,1.049040,1.220160,1.272240,1.019280,1.331760,1.264800,1.123440,1.034160,1.056480,1.302000,1.034160
1.116000,1.272240,1.272240,1.086240,1.071360,1.071360,1.063920,1.302000,1.324320,1.011840,1.049040,1.249920
1.034160,1.056480,0.996960,1.019280,1.049040,1.287120,,1.093680,1.034160,1.063920,1.294560,1.242480
1.212720,1.287120,1.279680,1.116000,1.049040,1.019280,,1.056480,1.220160,1.316880,1.309440,1.272240
1.056480,1.324320,1.026720,1.049040,1.041600,1.339200,,1.041600,1.101120,1.041600,1.302000,1.071360
1.249920,1.212720,1.019280,1.019280,1.086240,1.026720,,1.093680,1.049040,,1.056480,1.034160
,1.101120,1.049040,1.078800,0.989520,1.235040,,1.279680,1.249920,,1.071360,1.116000
,,1.019280,1.049040,0.967200,1.190400,,1.227600,1.041600,,1.287120,1.242480
,,1.287120,1.063920,1.220160,1.026720,,1.026720,1.026720,,1.056480,1.063920
,,,1.063920,1.302000,,,1.063920,,,,1.004400
,,,1.101120,,,,1.279680,,,,1.049040
,,,1.220160,,,,1.235040,,,,1.011840
,,,1.041600,,,,,,,,1.026720
,,,,,,,,,,,1.004400
